image,rank_count,mean_rank,min_rank,max_rank,normalized_roughness_score
Pavement_.jpg,5,4.8,4,5,1.0
Wall(6).jpg,12,4.75,4,5,0.9863945578231293
Bark.jpg,7,4.428571428571429,1,5,0.8989310009718174
Wall(2).jpg,11,4.363636363636363,1,5,0.8812615955473098
Sandpaper.jpg,5,4.2,2,5,0.8367346938775511
Wall(5).jpg,10,4.1,2,5,0.8095238095238094
Wood(1).jpg,5,4.0,3,5,0.7823129251700681
Clay sculpture_.jpg,6,3.8333333333333335,2,5,0.7369614512471656
Weave bag.jpg,5,3.8,3,5,0.7278911564625851
Wall(1).jpg,9,3.7777777777777777,3,5,0.7218442932728647
Rope.jpg,15,3.7333333333333334,1,5,0.7097505668934241
Fan vent(1).jpg,10,3.7,2,5,0.7006802721088436
Sidewalk.jpg,10,3.7,2,5,0.7006802721088436
Fan vent.jpg,10,3.7,1,5,0.7006802721088436
Wooden sign.jpg,13,3.6923076923076925,2,5,0.6985871271585559
Carpet.jpg,6,3.6666666666666665,2,5,0.691609977324263
Rock.jpg,6,3.6666666666666665,1,5,0.691609977324263
Weave bag(1).jpg,12,3.6666666666666665,2,5,0.691609977324263
Styrofoam_.jpg,11,3.5454545454545454,1,5,0.6586270871985158
Pavement.jpg,8,3.5,2,5,0.6462585034013606
Pillowcase fabric_.jpg,9,3.4444444444444446,3,4,0.6311413454270598
Book paper.jpg,10,3.4,2,5,0.6190476190476191
Towel.jpg,7,3.2857142857142856,2,5,0.5879494655004859
Wall(3).jpg,8,3.125,2,5,0.54421768707483
Wall(4).jpg,11,3.0,1,5,0.5102040816326531
Hair.jpg,7,2.857142857142857,1,5,0.47133138969873667
Table(2).jpg,12,2.8333333333333335,2,4,0.4648526077097506
Hair(2).jpg,10,2.8,1,5,0.45578231292517
Water bottle.jpg,13,2.769230769230769,1,5,0.4474097331240188
Bed headboard fabric_.jpg,8,2.75,1,5,0.44217687074829937
Leather chair.jpg,11,2.727272727272727,1,4,0.43599257884972165
Stuffed animal fabric.jpg,14,2.7142857142857144,1,5,0.43245869776482027
Wall.jpg,10,2.7,1,4,0.42857142857142866
Towel(1).jpg,10,2.7,1,5,0.42857142857142866
Blanket.jpg,3,2.6666666666666665,1,4,0.41950113378684806
Fabric.jpg,6,2.5,1,4,0.3741496598639456
Plastic.jpg,7,2.4285714285714284,1,4,0.35471331389698735
Skin(1).jpg,12,2.4166666666666665,1,5,0.3514739229024943
Graphite drawing.jpg,7,2.142857142857143,1,5,0.27696793002915454
Table(1).jpg,9,2.111111111111111,1,4,0.2683295540438398
Skin.png,3,2.0,1,4,0.2380952380952381
Wood.jpg,6,2.0,1,4,0.2380952380952381
Paper.jpg,13,2.0,1,4,0.2380952380952381
Lamp fabric.jpg,9,1.8888888888888888,1,5,0.20786092214663643
Paper(1).jpg,5,1.8,1,4,0.1836734693877551
Stuffed animal fur.jpg,4,1.75,1,2,0.17006802721088435
Bedsheets_.jpg,9,1.6666666666666667,1,3,0.14739229024943312
Hair(1).jpg,6,1.6666666666666667,1,5,0.14739229024943312
Skin.jpg,6,1.6666666666666667,1,4,0.14739229024943312
Fishing line.jpg,6,1.6666666666666667,1,3,0.14739229024943312
Plastic bag.jpg,7,1.5714285714285714,1,2,0.12147716229348882
Whiteboard.jpg,8,1.125,1,2,0.0
Table.jpg,8,1.125,1,2,0.0
